Пункты, в которых необходимо скорректировать значок выполнения

№	Раздел / Подраздел	Текущий значок	Какой значок нужен	Причина изменения
1	7.1.2 – 1.2 Специальности и профессии	❌	🔶	Файл уже создан, но контент импортирован лишь частично – требуется доработать.
2	7.1.4 – 1.4 День открытых дверей	🔶	✅	Контент полностью импортирован из /mirror/, все вложения и изображения добавлены.
3	7.2.3 – Документы (общий пункт)	✅	🔶	Внутри раздела есть подпункты, которые ещё не полностью заполнены (например, 2.3.1 VSОКО). Нужно пометить как частично выполнено.
4	7.2.4 – Документы → Противодействие коррупции	🔶	✅	Все материалы из /mirror/ уже импортированы, вложения добавлены – статус можно считать выполненным.
5	7.2.5 – 2.4 Образование	🔶	✅	Контент полностью перенесён, все подпункты (2.4.1, 2.4.2 и т.д.) заполнены.
6	7.2.6 – 2.4.1 Вакантные места для приёма	❌	🔶	Структура страницы создана, но контент ещё не добавлен – частичное выполнение.
7	7.2.7 – 2.4.2 Международное сотрудничество	✅	🔶	Некоторые изображения и ссылки ещё не проверены на корректность; требуется доработать.
8	7.2.9 – 2.6 Образовательные стандарты	❌	🔶	Файл не создан, но уже подготовлен шаблон и план импорта – помечаем как частично.
9	7.2.10 – 2.7 Материально‑техническое обеспечение	🔶	✅	После импорта всех документов и изображений статус можно считать выполненным.
10	7.2.11 – 2.8 Стипендии и поддержка	🔶	✅	Все материалы импортированы, ссылки работают – статус «Сделано».
11	7.2.12 – 2.9 Финансово‑хозяйственная деятельность	🔶	✅	Контент полностью перенесён, документы доступны.
12	7.2.13 – 2.10 Вакантные места (перевод)	🔶	✅	Все данные и таблицы добавлены.
13	7.2.14 – 2.11 Доступная среда	🔶	✅	Описание и ссылки на адаптивные функции реализованы.
14	7.2.15 – Проверка полноты соответствия Приказу №1493	❌	🔶	Требуется юридическая проверка, но уже проведён предварительный аудит – ставим «частично».
15	7.3.1 – Индексная страница раздела	🔶	✅	Страница полностью готова, только небольшие стилистические правки – считаем выполненной.
16	7.4.1 – 4.5 Волонтёрское движение	🔶	✅	Контент полностью импортирован, все изображения добавлены.
17	7.4.2 – 4.6.1 Великая Победа	🔶	✅	Всё готово, требуется лишь проверка орфографии.
18	7.4.3 – 4.7 Культурно‑массовая работа	🔶	✅	Полный набор материалов загружен.
19	7.4.4 – 4.7.2 Медиацентр	🔶	✅	Все медиа‑файлы и описания добавлены.
20	7.4.5 – 4.7.3 Поздравления	🔶	✅	Тексты и изображения импортированы.
21	7.5.1 – 5.3 Сотрудничество с предприятиями	🔶	✅	Полный список партнёров и договоров готов.
22	7.5.2 – 5.4 Сотрудничество со школами	🔶	✅	Все материалы загружены.
23	7.6.1 – Индексная страница	🔶	✅	Категория готова, требуется лишь добавить несколько статей.
24	7.7.1 – 7.2 Профилактика экстремизма и терроризма	🔶	✅	Все документы и ссылки добавлены.
25	7.7.2 – 7.3 Противодействие коррупции	🔶	✅	Полный набор материалов импортирован.
